speakers,durations,topics,views,descriptions,tags,lengths
Chip Kidd,1036,Designing books is no laughing matter OK it is,2542869,Chip Kidd doesnt judge books by their cover he creates covers that embody the book  and he does it with a wicked sense of humor In this deeply felt and deeply hilarious talk he shares the art and the philosophy behind his cover designs This talk is from The Design Studio session at TED2012 guestcurated by Chee Pearlman and David Rockwell,creativity|design|humor|literature,0:17:16
Bethany Rickwald and Hayley Levitt,234,Would you opt for a life with no pain,2542416,Imagine if you could plug your brain into a machine that would bring you ultimate pleasure for the rest of your life The only catch You have to permanently leave reality behind Hayley Levitt and Bethany Rickwald explore Robert Nozicks thought experiment that he called the Experience Machine Directed by Avi Ofer narrated by Addison Anderson,philosophy|religion|sociology|animation|life|pain|choice|,0:03:54
Amber Stuver,360,Einsteins twin paradox explained,2540071,On their 20th birthday identical twin astronauts volunteer for an experiment Terra will remain on Earth while Stella will board a spaceship Stellas ship will travel to visit a star that is 10 lightyears away then return to Earth As they prepare to part ways the twins wonder what will happen when theyre reunited Who will be older Amber Stuver investigates the Twin Paradox Directed by Aim Creative Studios narrated by Bethany CutmoreScott music by Andr Aires,animation||education|space|time|science|math,0:06:00
Rodney Mullen,1099,Pop an ollie and innovate,2539977,Rodney Mullen is the godfather of street skating and in this exuberant talk he shares his love of the open skateboarding community He shows how the unique environments skaters play in drive the creation of new tricks  fostering prolific ingenuity purely for passions sake,|collaboration|innovation|open-source|skateboarding,0:18:19
David Grady,394,How to save the world or at least yourself from bad meetings,2539105,An epidemic of bad inefficient overcrowded meetings is plaguing the worlds businesses  and making workers miserable David Grady has some ideas on how to stop it,business|communication|productivity|work,0:06:34
Steven Pinker,1047,What our language habits reveal,2539005,In an exclusive preview of his book The Stuff of Thought Steven Pinker looks at language and how it expresses what goes on in our minds  and how the words we choose communicate much more than we realize,culture|language|psychology|Social Science,0:17:27
Joey Alexander,388,An 11yearold prodigy performs oldschool jazz,2536999,Raised listening to his dads old records Joey Alexander plays a brand of sharp modern piano jazz that you likely wouldnt expect to hear from a preteenager Listen as the 11yearold delights the TED crowd with his very special performance of a Thelonious Monk classic,entertainment|jazz|live music|music|performance,0:06:28
Stephanie Warren,255,The chemistry of cookies,2535435,You stick cookie dough into an oven and magically you get a plate of warm gooey cookies Except its not magic its science Stephanie Warren explains via basic chemistry principles how the dough spreads out at what temperature we can kill salmonella and why that intoxicating smell wafting from your oven indicates that the cookies are ready for eating Directed by Augenblick Studios narrated by Addison Anderson,|animation|science|chemistry|bacteria|food,0:04:15
Taylor Wilson,773,My radical plan for small nuclear fission reactors,2534641,Taylor Wilson was 14 when he built a nuclear fusion reactor in his parents garage Now 19 he returns to the TED stage to present a new take on an old topic fission Wilson who has won backing to create a company to realize his vision explains why hes so excited about his innovative design for small modular fission reactors  and why it could be the next big step in solving the global energy crisis,innovation|nuclear energy|physics|science|technology|youth|alternative energy|chemistry|invention|energy|engineering|sustainability|future|space|electricity,0:12:53
Tom Nash,535,The perks of being a pirate,2533409,In this deeply charming and humorous talk DJ and selfprofessed pirate Tom Nash meditates on how facing adversity due to disability invited patience ambition and pragmatism into his life in enlightening unexpected ways We all have unique weaknesses he says If were honest about what they are we can learn how to best take advantage of them,storytelling|humor|disability|life|personal growth|creativity|,0:08:55
